[2023-03-30 15:12:29,332][inference.model_runners][INFO] - Reading checkpoint from /proj/kuhl_lab/RFdiffusion/inference/../models/Base_ckpt.pt
[2023-03-30 15:12:33,476][inference.model_runners][INFO] - Loading checkpoint.
[2023-03-30 15:12:36,115][diffusion][INFO] - Calculating IGSO3.
[2023-03-30 15:12:57,644][__main__][INFO] - Making design example_outputs/design_unconditional_0
[2023-03-30 15:12:57,649][inference.model_runners][INFO] - Using contig: ['100-200']
[2023-03-30 15:12:57,671][inference.model_runners][INFO] - Sequence init: ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-03-30 15:13:28,275][inference.model_runners][INFO] - Timestep 12, input to next step: ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-03-30 15:13:28,903][inference.model_runners][INFO] - Timestep 11, input to next step: ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-03-30 15:13:29,548][inference.model_runners][INFO] - Timestep 10, input to next step: ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-03-30 15:13:30,174][inference.model_runners][INFO] - Timestep 9, input to next step: ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-03-30 15:13:30,798][inference.model_runners][INFO] - Timestep 8, input to next step: ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-03-30 15:13:31,420][inference.model_runners][INFO] - Timestep 7, input to next step: ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-03-30 15:13:32,042][inference.model_runners][INFO] - Timestep 6, input to next step: ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-03-30 15:13:32,766][inference.model_runners][INFO] - Timestep 5, input to next step: ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-03-30 15:13:33,476][inference.model_runners][INFO] - Timestep 4, input to next step: ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-03-30 15:13:34,093][inference.model_runners][INFO] - Timestep 3, input to next step: ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-03-30 15:13:34,714][inference.model_runners][INFO] - Timestep 2, input to next step: ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-03-30 15:13:36,870][__main__][INFO] - Finished design in 0.65 minutes
[2023-03-30 15:13:36,870][__main__][INFO] - Making design example_outputs/design_unconditional_1
[2023-03-30 15:13:36,878][inference.model_runners][INFO] - Using contig: ['100-200']
[2023-03-30 15:13:36,896][inference.model_runners][INFO] - Sequence init: -----------------------------------------------------------------------------------------------------------------------------------------------
[2023-03-30 15:13:37,492][inference.model_runners][INFO] - Timestep 50, input to next step: -----------------------------------------------------------------------------------------------------------------------------------------------
