[2023-11-15 11:03:22,615][__main__][INFO] - Found GPU with device_name Tesla V100-SXM2-16GB. Will run RFdiffusion on Tesla V100-SXM2-16GB
[2023-11-15 11:03:22,616][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /proj/kuhl_lab/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2023-11-15 11:03:26,729][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2023-11-15 11:03:30,464][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2023-11-15 11:03:30,475][__main__][INFO] - Making design example_outputs/rfdiff_unconditional/rfdiff_model_0
[2023-11-15 11:03:30,481][rfdiffusion.inference.model_runners][INFO] - Using contig: ['50-60/0 50-60/0 50-60/0']
[2023-11-15 11:03:30,506][rfdiffusion.inference.model_runners][INFO] - Sequence init: -----------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-11-15 11:03:59,784][rfdiffusion.inference.model_runners][INFO] - Timestep 16, input to next step: -----------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-11-15 11:04:00,491][rfdiffusion.inference.model_runners][INFO] - Timestep 15, input to next step: -----------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-11-15 11:04:01,204][rfdiffusion.inference.model_runners][INFO] - Timestep 14, input to next step: -----------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-11-15 11:04:01,917][rfdiffusion.inference.model_runners][INFO] - Timestep 13, input to next step: -----------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-11-15 11:04:02,622][rfdiffusion.inference.model_runners][INFO] - Timestep 12, input to next step: -----------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-11-15 11:04:03,333][rfdiffusion.inference.model_runners][INFO] - Timestep 11, input to next step: -----------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-11-15 11:04:04,044][rfdiffusion.inference.model_runners][INFO] - Timestep 10, input to next step: -----------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-11-15 11:04:04,745][rfdiffusion.inference.model_runners][INFO] - Timestep 9, input to next step: -----------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-11-15 11:04:05,452][rfdiffusion.inference.model_runners][INFO] - Timestep 8, input to next step: -----------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2023-11-15 11:04:06,159][rfdiffusion.inference.model_runners][INFO] - Timestep 7, input to next step: -----------------------------------------------------------------------------------------------------------------------------------------------------------------------
